comunidad,capital,zona_invierno_cte,calefaccion_kwh_ano,ahorro_kwh_ano,ahorro_eur_ano_gas,amortizacion_anos_gas,ahorro_eur_ano_electrico,amortizacion_anos_electrico
Aragón,Zaragoza,D,8600,1032,92.9,1.6,165.1,0.9
Principado de Asturias,Oviedo,D,8600,1032,92.9,1.6,165.1,0.9
Castilla y León,Valladolid,D,8600,1032,92.9,1.6,165.1,0.9
La Rioja,Logroño,D,8600,1032,92.9,1.6,165.1,0.9
Comunidad de Madrid,Madrid,D,8600,1032,92.9,1.6,165.1,0.9
Comunidad Foral de Navarra,Pamplona,D,8600,1032,92.9,1.6,165.1,0.9
País Vasco,Vitoria-Gasteiz,D,8600,1032,92.9,1.6,165.1,0.9
Cantabria,Santander,C,7400,888,79.9,1.9,142.1,1.1
Castilla-La Mancha,Toledo,C,7400,888,79.9,1.9,142.1,1.1
Cataluña,Barcelona,C,7400,888,79.9,1.9,142.1,1.1
Extremadura,Mérida,C,7400,888,79.9,1.9,142.1,1.1
Galicia,Santiago de Compostela,C,7400,888,79.9,1.9,142.1,1.1
Andalucía,Sevilla,B,6200,744,67.0,2.2,119.0,1.3
Islas Baleares,Palma,B,6200,744,67.0,2.2,119.0,1.3
Comunidad Valenciana,Valencia,B,6200,744,67.0,2.2,119.0,1.3
Región de Murcia,Murcia,B,6200,744,67.0,2.2,119.0,1.3
Canarias,Las Palmas de G.C.,A,2000,240,21.6,6.9,38.4,3.9
